
 iter           fval      grad norm    step-length      step norm
    0           24.2        232.868
    1        5.10111        43.8985    0.000976562        0.22741
    2        3.20842        12.6642          0.125        0.55921
    3        3.12866        14.1374              1      0.0607132
    4        2.67087        21.9418              1       0.468262
    5        2.28157         4.0462              1       0.130215
    6        1.92423        5.18454              1       0.176519
    7        1.82195        9.71632           0.25       0.108077
    8        1.69629        8.75766              1      0.0484548
    9        1.28113        4.03439              1       0.142616
   10         1.1663        6.87535            0.5      0.0977486
   11       0.861869        6.48277              1       0.161962
   12       0.748284        6.43615              1      0.0878984
   13       0.529825        7.41563              1       0.176863
   14       0.498902        1.67251              1      0.0576994
   15       0.419844        1.52094              1      0.0699063
   16       0.381601        7.55458            0.5       0.122721
   17       0.328359        2.82316              1      0.0199774
   18       0.269013        1.01417              1      0.0630482
   19       0.201659        8.02232              1       0.215114
   20       0.158037       0.584254              1      0.0384828
   21       0.119283       0.836573              1      0.0849515
   22      0.0882591        5.56297            0.5        0.15614
   23      0.0606526        1.71312              1      0.0234097
   24      0.0305849        2.49899              1       0.149025

 iter           fval      grad norm    step-length      step norm
   25      0.0149761        1.65845              1      0.0946026
   26     0.00595675       0.147797              1       0.079281
   27     0.00495225        2.59705            0.5      0.0851321
   28     0.00125087       0.238757              1      0.0056888
   29    0.000268954       0.126988              1      0.0412131
   30    2.46297e-05       0.196919              1      0.0308054
   31    5.52547e-07       0.011743              1      0.0035529
   32    8.66334e-10      0.0012218              1     0.00158085
   33    1.86604e-13    1.10224e-05              1    2.54592e-05
